"","V1","V2","V3"
"282",1506010757,3098.41198449,0.0052
"283",1506010785,3098.41198449,0.0032
"284",1506010815,3098.41198449,0.0014
"285",1506010844,3098.41198449,0.0046
"286",1506010875,3101.09043702,0.0046
"287",1506010903,3101.09043702,0.004
"288",1506010932,3110.53822374,0.0054
"289",1506010960,3110.53822374,0.0033
"290",1506010991,3099.39073698,0.0051
"291",1506011018,3099.39073698,0.0057
"292",1506011048,3096.85548348,0.0011
"293",1506011077,3096.85548348,0.0048
"294",1506011107,3096.85548348,0.0031
"295",1506011135,3096.85548348,0.0046
"296",1506011164,3096.85548348,0.0013
"297",1506011194,3096.85548348,0.0052
"298",1506011221,3096.85548348,0.0048
"299",1506011251,3092.17555146,0.0017
"300",1506011280,3092.17555146,0.0035
"301",1506011311,3088.330134,0.0033
"302",1506011338,3088.330134,0.0026
"303",1506011369,3087.6652055,0.003
"304",1506011397,3087.6652055,0.0048
"305",1506011427,3080.6850315,0.0014
"306",1506011455,3080.6850315,0.0044
"307",1506011485,3080.6850315,0.0016
"308",1506011513,3080.6850315,0.0053
"309",1506011545,3073.520748,0.0048
"310",1506011571,3073.520748,0.001
"311",1506011601,3068.8950005,0.0046
"312",1506011628,3068.8950005,0.0058
"313",1506011661,3060.8754125,0.0032
"314",1506011687,3060.8754125,0.0047
"315",1506011717,3066.90277976,0.0034
"316",1506011746,3066.90277976,0.0032
"317",1506011777,3056.0363965,0.0037
"318",1506011804,3056.0363965,0.0046
"319",1506011835,3063.0050005,0.0023
"320",1506011863,3063.0050005,0.0014
"321",1506011893,3053.440302,0.0042
"322",1506011922,3053.440302,0.0037
"323",1506011952,3054.3053885,0.0031
"324",1506011980,3054.3053885,0.0048
"325",1506012010,3060.88370029,0.0022
"326",1506012038,3060.88370029,0.0048
"327",1506012068,3063.80840779,0.0025
"328",1506012097,3063.80840779,0.0035
"329",1506012127,3060.34887016,0.0058
"330",1506012156,3060.34887016,0.0026
"331",1506012185,3060.6354165,0.0028
"332",1506012214,3060.6354165,0.0035
"333",1506012244,3063.3551445,0.0031
"334",1506012273,3063.3551445,0.0052
"335",1506012302,3058.810599,0.0026
"336",1506012331,3066.53327528,0.0036
"337",1506012361,3066.53327528,0.0013
"338",1506012392,3066.70005078,0.0033
"339",1506012421,3066.70005078,0.0015
"340",1506012450,3084.33867506,0.0056
"341",1506012479,3084.33867506,0.0023
"342",1506012508,3094.37801876,0.0055
"343",1506012537,3094.37801876,0.0024
"344",1506012567,3100.53275075,0.0056
"345",1506012595,3100.53275075,0.0041
"346",1506012626,3102.25292775,0.0038
"347",1506012654,3102.25292775,0.0047
"348",1506012683,3104.440209,0.004
"349",1506012712,3104.440209,0.0012
"350",1506012742,3102.730043,0.0023
"351",1506012772,3102.730043,0.0042
"352",1506012801,3102.730043,0.0018
"353",1506012829,3102.730043,0.0028
"354",1506012860,3102.730043,0.0035
"355",1506012888,3102.730043,0.0022
"356",1506012917,3102.39794225,0.001
"357",1506012945,3102.39794225,0.0041
"358",1506012976,3107.23617409,0.005
"359",1506013004,3107.23617409,0.0046
"360",1506013035,3109.46845584,0.0023
"361",1506013062,3109.46845584,0.0042
"362",1506013091,3109.46845584,0.0053
"363",1506013120,3109.46845584,0.0044
"364",1506013149,3108.46786725,0.0028
"365",1506013178,3108.46786725,0.0043
"366",1506013207,3115.05756329,0.0026
"367",1506013236,3115.05756329,0.0018
"368",1506013267,3115.43152589,0.0024
"369",1506013296,3115.43152589,0.0022
"370",1506013324,3117.51176284,0.001
"371",1506013353,3117.51176284,0.004
"372",1506013381,3117.51176284,0.0036
"373",1506013410,3117.51176284,0.0035
"374",1506013438,3117.51176284,0.0012
"375",1506013468,3117.51176284,0.0026
"376",1506013497,3117.51176284,0.0048
"377",1506013526,3121.23213484,0.003
"378",1506013554,3121.23213484,0.003
"379",1506013585,3125.28439629,0.0025
"380",1506013613,3125.28439629,0.0018
"381",1506013645,3135.32283379,0.0014
"382",1506013671,3135.32283379,0.0047
"383",1506013702,3143.49459157,0.0024
"384",1506013729,3143.49459157,0.0043
"385",1506013760,3145.18980927,0.0057
"386",1506013787,3145.18980927,0.0046
"387",1506013919,3142.570234,0.0056
"388",1506013934,3141.02665838,0.0021
"389",1506013962,3141.02665838,0.0024
"390",1506013994,3124.370366,0.0033
"391",1506014020,3124.370366,0.0052
"392",1506014050,3115.860475,0.0031
"393",1506014078,3115.860475,0.0041
"394",1506014108,3120.1052795,0.0014
"395",1506014137,3120.1052795,0.0025
